date,Primary J&J/Janssen dose,Primary mRNA dose 1,Primary mRNA dose 2,First original booster dose,Second original booster dose,First 2022 bivalent dose,First 2023 updated dose,Unknown/Other,Population,At_least_one_dose,Cumulative_one_dose,Two_doses,Cumulative_Full_Vax,Perc_Full_Vax
3/4/2022,32,483,534,1536,190,0,0,4,2260800,515,1949383,566,1810975,80.10328202
3/5/2022,7,331,382,960,68,0,0,4,2260800,338,1949721,389,1811364,80.12048832
3/6/2022,2,170,148,436,30,0,0,0,2260800,172,1949893,150,1811514,80.12712314
3/7/2022,22,360,322,976,116,0,0,3,2260800,382,1950275,344,1811858,80.142339
3/8/2022,23,284,304,898,136,0,0,0,2260800,307,1950582,327,1812185,80.1568029
3/9/2022,11,330,351,941,124,0,0,1,2260800,341,1950923,362,1812547,80.17281493
3/10/2022,26,292,296,851,144,0,0,3,2260800,318,1951241,322,1812869,80.18705768
3/11/2022,10,387,443,1183,148,0,0,3,2260800,397,1951638,453,1813322,80.20709483
3/12/2022,11,276,325,885,75,0,0,1,2260800,287,1951925,336,1813658,80.22195683
3/13/2022,7,171,154,439,31,0,0,1,2260800,178,1952103,161,1813819,80.2290782
3/14/2022,23,289,241,874,118,0,0,3,2260800,312,1952415,264,1814083,80.24075548
3/15/2022,16,255,291,885,175,0,0,8,2260800,271,1952686,307,1814390,80.25433475
3/16/2022,15,322,340,871,210,0,0,3,2260800,337,1953023,355,1814745,80.27003715
3/17/2022,16,243,250,776,195,0,0,2,2260800,259,1953282,266,1815011,80.2818029
3/18/2022,15,402,394,1188,264,0,0,2,2260800,417,1953699,409,1815420,80.29989384
3/19/2022,12,223,267,687,156,0,0,2,2260800,235,1953934,279,1815699,80.31223461
3/20/2022,7,117,138,381,60,0,0,0,2260800,124,1954058,145,1815844,80.31864827
3/21/2022,9,250,236,867,218,0,0,0,2260800,259,1954317,245,1816089,80.32948514
3/22/2022,5,274,233,799,174,0,0,0,2260800,279,1954596,238,1816327,80.34001238
3/23/2022,18,276,261,795,238,0,0,1,2260800,294,1954890,279,1816606,80.35235315
3/24/2022,9,241,227,622,243,0,0,2,2260800,250,1955140,236,1816842,80.36279193
3/25/2022,16,309,334,974,202,0,0,3,2260800,325,1955465,350,1817192,80.37827318
3/26/2022,16,236,229,540,111,0,0,1,2260800,252,1955717,245,1817437,80.38911005
3/27/2022,14,119,120,291,80,0,0,2,2260800,133,1955850,134,1817571,80.39503715
3/28/2022,15,235,229,707,212,0,0,3,2260800,250,1956100,244,1817815,80.40582979
3/29/2022,19,228,174,726,643,0,0,0,2260800,247,1956347,193,1818008,80.4143666
3/30/2022,12,286,304,815,2782,0,0,2,2260800,298,1956645,316,1818324,80.42834395
3/31/2022,11,257,297,752,3832,0,0,2,2260800,268,1956913,308,1818632,80.44196745
4/1/2022,10,335,317,953,4582,0,0,1,2260800,345,1957258,327,1818959,80.45643135
4/2/2022,3,173,220,521,2535,0,0,0,2260800,176,1957434,223,1819182,80.46629512
4/3/2022,7,92,109,260,1767,0,0,1,2260800,99,1957533,116,1819298,80.47142604
4/4/2022,5,269,233,685,3979,0,0,0,2260800,274,1957807,238,1819536,80.48195329
4/5/2022,2,223,219,630,4115,0,0,2,2260800,225,1958032,221,1819757,80.49172859
4/6/2022,8,289,289,691,4638,0,0,0,2260800,297,1958329,297,1820054,80.50486553
4/7/2022,12,249,230,664,4387,0,0,0,2260800,261,1958590,242,1820296,80.51556971
4/8/2022,4,326,391,844,5217,0,0,0,2260800,330,1958920,395,1820691,80.5330414
4/9/2022,10,224,193,477,3038,0,0,0,2260800,234,1959154,203,1820894,80.54202052
4/10/2022,6,116,91,266,1980,0,0,0,2260800,122,1959276,97,1820991,80.54631104
4/11/2022,9,215,236,600,4399,0,0,1,2260800,224,1959500,245,1821236,80.55714791
4/12/2022,7,252,221,632,4613,0,0,1,2260800,259,1959759,228,1821464,80.56723284
4/13/2022,7,292,274,684,4717,0,0,2,2260800,299,1960058,281,1821745,80.57966207
4/14/2022,9,229,217,689,4416,0,0,3,2260800,238,1960296,226,1821971,80.58965853
4/15/2022,13,332,282,783,4662,0,0,2,2260800,345,1960641,295,1822266,80.60270701
4/16/2022,6,175,151,404,2169,0,0,0,2260800,181,1960822,157,1822423,80.60965145
4/17/2022,3,70,52,153,732,0,0,1,2260800,73,1960895,55,1822478,80.61208422
4/18/2022,6,318,245,606,4034,0,0,0,2260800,324,1961219,251,1822729,80.62318648
4/19/2022,9,402,242,635,4043,0,0,0,2260800,411,1961630,251,1822980,80.63428875
4/20/2022,13,268,275,636,4362,0,0,1,2260800,281,1961911,288,1823268,80.6470276
4/21/2022,17,216,227,583,3658,0,0,2,2260800,233,1962144,244,1823512,80.65782024
4/22/2022,18,298,293,668,4169,0,0,4,2260800,316,1962460,311,1823823,80.67157643
4/23/2022,6,196,136,367,1654,0,0,1,2260800,202,1962662,142,1823965,80.6778574
4/24/2022,11,91,60,221,821,0,0,0,2260800,102,1962764,71,1824036,80.68099788
4/25/2022,9,208,177,467,3161,0,0,1,2260800,217,1962981,186,1824222,80.68922505
4/26/2022,7,237,179,529,3295,0,0,0,2260800,244,1963225,186,1824408,80.69745223
4/27/2022,11,307,245,563,3589,0,0,0,2260800,318,1963543,256,1824664,80.70877565
4/28/2022,9,268,215,586,3588,0,0,0,2260800,277,1963820,224,1824888,80.71868365
4/29/2022,12,268,239,735,4116,0,0,2,2260800,280,1964100,251,1825139,80.72978592
4/30/2022,3,199,162,395,1774,0,0,0,2260800,202,1964302,165,1825304,80.73708422
5/1/2022,2,127,85,267,943,0,0,1,2260800,129,1964431,87,1825391,80.74093241
5/2/2022,9,262,159,471,3125,0,0,0,2260800,271,1964702,168,1825559,80.74836341
5/3/2022,10,261,193,577,3230,0,0,2,2260800,271,1964973,203,1825762,80.75734253
5/4/2022,6,252,249,509,3379,0,0,1,2260800,258,1965231,255,1826017,80.76862173
5/5/2022,10,206,163,576,3225,0,0,0,2260800,216,1965447,173,1826190,80.77627389
5/6/2022,22,345,244,691,4596,0,0,3,2260800,367,1965814,266,1826456,80.78803963
5/7/2022,5,188,139,366,1888,0,0,0,2260800,193,1966007,144,1826600,80.79440906
5/8/2022,0,103,53,168,755,0,0,0,2260800,103,1966110,53,1826653,80.79675336
5/9/2022,10,215,179,509,3233,0,0,1,2260800,225,1966335,189,1826842,80.80511323
5/10/2022,5,265,239,546,3021,0,0,1,2260800,270,1966605,244,1827086,80.81590587
5/11/2022,11,263,260,548,3192,0,0,1,2260800,274,1966879,271,1827357,80.82789278
5/12/2022,5,188,188,481,2940,0,0,3,2260800,193,1967072,193,1827550,80.83642958
5/13/2022,4,316,231,701,3919,0,0,1,2260800,320,1967392,235,1827785,80.84682413
5/14/2022,4,260,158,382,1832,0,0,0,2260800,264,1967656,162,1827947,80.85398974
5/15/2022,2,128,66,234,1030,0,0,1,2260800,130,1967786,68,1828015,80.85699752
5/16/2022,4,252,193,577,3179,0,0,0,2260800,256,1968042,197,1828212,80.86571125
5/17/2022,4,247,173,601,2847,0,0,0,2260800,251,1968293,177,1828389,80.87354034
5/18/2022,7,267,230,657,3273,0,0,0,2260800,274,1968567,237,1828626,80.88402335
5/19/2022,5,205,196,548,2586,0,0,1,2260800,210,1968777,201,1828827,80.89291401
5/20/2022,10,264,295,1028,3600,0,0,2,2260800,274,1969051,305,1829132,80.90640481
5/21/2022,6,176,127,727,1537,0,0,1,2260800,182,1969233,133,1829265,80.91228769
5/22/2022,2,73,65,432,871,0,0,0,2260800,75,1969308,67,1829332,80.91525124
5/23/2022,9,297,226,964,3225,0,0,2,2260800,306,1969614,235,1829567,80.92564579
5/24/2022,4,268,199,996,2812,0,0,2,2260800,272,1969886,203,1829770,80.93462491
5/25/2022,5,254,221,1360,2918,0,0,2,2260800,259,1970145,226,1829996,80.94462137
5/26/2022,3,246,265,1453,2935,0,0,1,2260800,249,1970394,268,1830264,80.95647558
5/27/2022,6,350,290,1827,3436,0,0,4,2260800,356,1970750,296,1830560,80.96956829
5/28/2022,4,164,119,1048,1431,0,0,1,2260800,168,1970918,123,1830683,80.97500885
5/29/2022,3,106,74,556,753,0,0,1,2260800,109,1971027,77,1830760,80.97841472
5/30/2022,2,22,14,97,262,0,0,0,2260800,24,1971051,16,1830776,80.97912243
5/31/2022,6,251,185,1034,2095,0,0,1,2260800,257,1971308,191,1830967,80.98757077
6/1/2022,6,278,224,1500,2532,0,0,2,2260800,284,1971592,230,1831197,80.99774416
6/2/2022,12,250,173,1066,2150,0,0,0,2260800,262,1971854,185,1831382,81.00592711
6/3/2022,5,371,227,1403,2950,0,0,1,2260800,376,1972230,232,1831614,81.01618896
6/4/2022,4,193,158,1875,1301,0,0,0,2260800,197,1972427,162,1831776,81.02335456
6/5/2022,2,177,114,4027,784,0,0,0,2260800,179,1972606,116,1831892,81.02848549
6/6/2022,11,288,207,902,2269,0,0,0,2260800,299,1972905,218,1832110,81.0381281
6/7/2022,1,208,156,712,1516,0,0,1,2260800,209,1973114,157,1832267,81.04507254
6/8/2022,2,240,197,1103,2123,0,0,0,2260800,242,1973356,199,1832466,81.05387473
6/9/2022,3,239,147,973,1798,0,0,3,2260800,242,1973598,150,1832616,81.06050955
6/10/2022,10,306,217,1257,2300,0,0,2,2260800,316,1973914,227,1832843,81.07055025
6/11/2022,2,201,136,1744,1220,0,0,1,2260800,203,1974117,138,1832981,81.07665428
6/12/2022,3,86,44,294,485,0,0,1,2260800,89,1974206,47,1833028,81.07873319
6/13/2022,4,238,182,741,1811,0,0,0,2260800,242,1974448,186,1833214,81.08696037
6/14/2022,3,229,175,782,1584,0,0,2,2260800,232,1974680,178,1833392,81.09483369
6/15/2022,4,239,173,1094,1666,0,0,0,2260800,243,1974923,177,1833569,81.10266277
6/16/2022,8,274,161,660,1344,0,0,3,2260800,282,1975205,169,1833738,81.110138
6/17/2022,8,249,196,903,1892,0,0,1,2260800,257,1975462,204,1833942,81.11916136
6/18/2022,4,173,132,844,788,0,0,1,2260800,177,1975639,136,1834078,81.12517693
6/19/2022,0,96,70,239,332,0,0,0,2260800,96,1975735,70,1834148,81.12827318
6/20/2022,6,216,113,767,1404,0,0,1,2260800,222,1975957,119,1834267,81.1335368
6/21/2022,5,393,154,875,1405,0,0,3,2260800,398,1976355,159,1834426,81.14056971
6/22/2022,3,857,174,878,1589,0,0,0,2260800,860,1977215,177,1834603,81.1483988
6/23/2022,6,1161,165,752,1134,0,0,2,2260800,1167,1978382,171,1834774,81.15596249
6/24/2022,1,1474,195,855,1464,0,0,4,2260800,1475,1979857,196,1834970,81.16463199
6/25/2022,0,1662,104,447,538,0,0,0,2260800,1662,1981519,104,1835074,81.16923213
6/26/2022,0,243,56,160,284,0,0,0,2260800,243,1981762,56,1835130,81.17170913
6/27/2022,5,1018,146,545,1131,0,0,2,2260800,1023,1982785,151,1835281,81.17838818
6/28/2022,7,1096,134,702,988,0,0,1,2260800,1103,1983888,141,1835422,81.18462491
6/29/2022,4,1021,182,727,1180,0,0,5,2260800,1025,1984913,186,1835608,81.19285209
6/30/2022,8,1088,168,634,1138,0,0,2,2260800,1096,1986009,176,1835784,81.20063694
7/1/2022,1,984,159,762,1243,0,0,4,2260800,985,1986994,160,1835944,81.20771408
7/2/2022,2,497,77,385,529,0,0,1,2260800,499,1987493,79,1836023,81.21120842
7/3/2022,3,177,60,164,330,0,0,0,2260800,180,1987673,63,1836086,81.21399505
7/4/2022,0,22,11,19,42,0,0,0,2260800,22,1987695,11,1836097,81.2144816
7/5/2022,8,810,154,584,1032,0,0,1,2260800,818,1988513,162,1836259,81.2216472
7/6/2022,8,850,162,651,1127,0,0,0,2260800,858,1989371,170,1836429,81.22916667
7/7/2022,8,853,137,601,991,0,0,0,2260800,861,1990232,145,1836574,81.23558033
7/8/2022,4,955,183,658,1317,0,0,1,2260800,959,1991191,187,1836761,81.24385173
7/9/2022,2,813,88,405,592,0,0,1,2260800,815,1992006,90,1836851,81.24783263
7/10/2022,1,2581,53,318,376,0,0,1,2260800,2582,1994588,54,1836905,81.25022116
7/11/2022,3,701,152,593,1139,0,0,0,2260800,704,1995292,155,1837060,81.25707714
7/12/2022,0,552,137,586,1189,0,0,0,2260800,552,1995844,137,1837197,81.26313694
7/13/2022,6,690,211,624,1324,0,0,0,2260800,696,1996540,217,1837414,81.27273531
7/14/2022,6,635,287,649,1488,0,0,2,2260800,641,1997181,293,1837707,81.28569533
7/15/2022,5,763,448,660,1740,0,0,0,2260800,768,1997949,453,1838160,81.30573248
7/16/2022,5,658,305,440,938,0,0,2,2260800,663,1998612,310,1838470,81.31944444
7/17/2022,3,167,130,261,568,0,0,1,2260800,170,1998782,133,1838603,81.32532732
7/18/2022,10,747,376,629,1577,0,0,5,2260800,757,1999539,386,1838989,81.34240092
7/19/2022,3,623,387,642,1410,0,0,2,2260800,626,2000165,390,1839379,81.35965145
7/20/2022,7,602,618,640,1448,0,0,0,2260800,609,2000774,625,1840004,81.38729653
7/21/2022,0,617,721,577,1239,0,0,1,2260800,617,2001391,721,1840725,81.4191879
7/22/2022,4,576,890,557,1288,0,0,3,2260800,580,2001971,894,1841619,81.45873142
7/23/2022,5,375,1001,362,721,0,0,1,2260800,380,2002351,1006,1842625,81.50322895
7/24/2022,3,121,160,180,384,0,0,0,2260800,124,2002475,163,1842788,81.51043878
7/25/2022,7,565,604,555,1205,0,0,0,2260800,572,2003047,611,1843399,81.53746461
7/26/2022,3,512,725,508,954,0,0,1,2260800,515,2003562,728,1844127,81.56966561
7/27/2022,1,523,703,543,1044,0,0,1,2260800,524,2004086,704,1844831,81.60080502
7/28/2022,5,462,696,477,939,0,0,3,2260800,467,2004553,701,1845532,81.63181175
7/29/2022,10,569,739,513,1053,0,0,8,2260800,579,2005132,749,1846281,81.66494161
7/30/2022,1,346,443,294,447,0,0,1,2260800,347,2005479,444,1846725,81.68458068
7/31/2022,2,96,119,139,210,0,0,0,2260800,98,2005577,121,1846846,81.68993277
8/1/2022,4,472,525,462,722,0,0,4,2260800,476,2006053,529,1847375,81.71333156
8/2/2022,6,433,467,445,683,0,0,7,2260800,439,2006492,473,1847848,81.73425336
8/3/2022,5,592,533,562,702,0,0,4,2260800,597,2007089,538,1848386,81.75805025
8/4/2022,8,517,577,511,792,0,0,7,2260800,525,2007614,585,1848971,81.78392604
8/5/2022,6,569,658,534,904,0,0,16,2260800,575,2008189,664,1849635,81.81329618
8/6/2022,5,291,544,281,371,0,0,2,2260800,296,2008485,549,1850184,81.83757962
8/7/2022,2,246,2172,170,188,0,0,1,2260800,248,2008733,2174,1852358,81.93374027
8/8/2022,7,462,507,477,764,0,0,4,2260800,469,2009202,514,1852872,81.95647558
8/9/2022,5,401,467,473,675,0,0,6,2260800,406,2009608,472,1853344,81.97735315
8/10/2022,3,553,499,574,763,0,0,7,2260800,556,2010164,502,1853846,81.99955768
8/11/2022,10,504,453,500,728,0,0,8,2260800,514,2010678,463,1854309,82.02003715
8/12/2022,5,444,554,505,761,0,0,2,2260800,449,2011127,559,1854868,82.04476292
8/13/2022,2,231,401,267,335,0,0,6,2260800,233,2011360,403,1855271,82.06258846
8/14/2022,2,97,105,130,161,0,0,1,2260800,99,2011459,107,1855378,82.0673213
8/15/2022,1,461,473,515,624,0,0,3,2260800,462,2011921,474,1855852,82.08828733
8/16/2022,4,430,448,505,587,0,0,1,2260800,434,2012355,452,1856304,82.10828025
8/17/2022,6,543,501,580,642,0,0,5,2260800,549,2012904,507,1856811,82.13070594
8/18/2022,3,434,460,441,499,0,0,13,2260800,437,2013341,463,1857274,82.15118542
8/19/2022,4,403,489,536,590,0,0,12,2260800,407,2013748,493,1857767,82.17299186
8/20/2022,4,232,284,237,255,0,0,6,2260800,236,2013984,288,1858055,82.18573071
8/21/2022,1,108,97,183,117,0,0,2,2260800,109,2014093,98,1858153,82.19006546
8/22/2022,3,456,517,555,474,0,0,5,2260800,459,2014552,520,1858673,82.21306617
8/23/2022,6,471,361,522,481,0,0,5,2260800,477,2015029,367,1859040,82.22929936
8/24/2022,4,512,531,597,404,0,0,3,2260800,516,2015545,535,1859575,82.25296355
8/25/2022,4,418,403,437,394,0,0,4,2260800,422,2015967,407,1859982,82.27096603
8/26/2022,4,447,464,500,501,0,0,15,2260800,451,2016418,468,1860450,82.29166667
8/27/2022,2,282,246,291,197,0,0,3,2260800,284,2016702,248,1860698,82.30263623
8/28/2022,6,102,65,161,86,0,0,2,2260800,108,2016810,71,1860769,82.30577672
8/29/2022,7,396,402,499,389,0,0,4,2260800,403,2017213,409,1861178,82.32386766
8/30/2022,5,406,391,445,335,0,0,6,2260800,411,2017624,396,1861574,82.34138358
8/31/2022,6,470,585,466,341,45,0,6,2260800,476,2018100,591,1862165,82.36752477
9/1/2022,5,318,398,187,80,58,0,4,2260800,323,2018423,403,1862568,82.38535032
9/2/2022,4,361,425,241,39,48,0,7,2260800,365,2018788,429,1862997,82.4043259
9/3/2022,3,152,202,90,33,251,0,6,2260800,155,2018943,205,1863202,82.41339349
9/4/2022,2,34,42,38,5,80,0,0,2260800,36,2018979,44,1863246,82.4153397
9/5/2022,3,17,26,16,5,69,0,0,2260800,20,2018999,29,1863275,82.41662243
9/6/2022,9,260,394,137,23,1050,0,15,2260800,269,2019268,403,1863678,82.43444798
9/7/2022,2,335,289,86,20,2785,0,24,2260800,337,2019605,291,1863969,82.44731953
9/8/2022,7,339,321,93,16,3593,0,51,2260800,346,2019951,328,1864297,82.46182767
9/9/2022,0,298,395,117,31,5700,0,151,2260800,298,2020249,395,1864692,82.47929936
9/10/2022,1,113,227,60,19,3784,0,89,2260800,114,2020363,228,1864920,82.48938429
9/11/2022,1,50,87,11,16,2148,0,46,2260800,51,2020414,88,1865008,82.49327672
9/12/2022,4,258,285,61,38,5751,0,99,2260800,262,2020676,289,1865297,82.5060598
9/13/2022,2,197,261,93,18,6220,0,82,2260800,199,2020875,263,1865560,82.51769285
9/14/2022,5,273,349,106,18,6819,0,140,2260800,278,2021153,354,1865914,82.53335103
9/15/2022,2,238,318,70,21,6783,0,111,2260800,240,2021393,320,1866234,82.54750531
9/16/2022,5,240,364,102,30,8560,0,167,2260800,245,2021638,369,1866603,82.56382696
9/17/2022,2,100,197,96,27,6973,0,98,2260800,102,2021740,199,1866802,82.57262916
9/18/2022,1,32,82,71,71,3863,0,42,2260800,33,2021773,83,1866885,82.57630042
9/19/2022,2,225,250,80,17,8584,0,89,2260800,227,2022000,252,1867137,82.58744692
9/20/2022,5,211,242,90,25,7945,0,106,2260800,216,2022216,247,1867384,82.59837226
9/21/2022,5,296,401,141,23,9001,0,201,2260800,301,2022517,406,1867790,82.6163305
9/22/2022,2,264,294,113,26,8948,0,119,2260800,266,2022783,296,1868086,82.62942321
9/23/2022,5,238,373,91,19,10566,0,204,2260800,243,2023026,378,1868464,82.64614296
9/24/2022,0,80,164,109,15,5445,0,124,2260800,80,2023106,164,1868628,82.65339703
9/25/2022,2,67,41,54,17,3515,0,24,2260800,69,2023175,43,1868671,82.65529901
9/26/2022,3,181,196,83,11,9026,0,133,2260800,184,2023359,199,1868870,82.6641012
9/27/2022,2,244,231,85,15,8733,0,98,2260800,246,2023605,233,1869103,82.67440729
9/28/2022,0,245,412,102,15,9532,0,150,2260800,245,2023850,412,1869515,82.69263093
9/29/2022,2,259,238,55,23,9073,0,93,2260800,261,2024111,240,1869755,82.70324664
9/30/2022,1,246,308,71,16,11670,0,217,2260800,247,2024358,309,1870064,82.71691437
10/1/2022,0,99,135,44,21,6741,0,82,2260800,99,2024457,135,1870199,82.7228857
10/2/2022,2,41,50,18,4,3702,0,32,2260800,43,2024500,52,1870251,82.72518577
10/3/2022,1,201,187,64,12,9600,0,144,2260800,202,2024702,188,1870439,82.73350142
10/4/2022,0,186,192,61,31,9229,0,96,2260800,186,2024888,192,1870631,82.74199398
10/5/2022,2,172,193,77,23,10086,0,138,2260800,174,2025062,195,1870826,82.75061925
10/6/2022,2,239,263,51,16,9767,0,115,2260800,241,2025303,265,1871091,82.76234076
10/7/2022,2,226,241,84,26,11905,0,166,2260800,228,2025531,243,1871334,82.77308917
10/8/2022,1,63,137,64,19,6505,0,79,2260800,64,2025595,138,1871472,82.77919321
10/9/2022,0,34,64,29,11,3621,0,18,2260800,34,2025629,64,1871536,82.78202406
10/10/2022,1,166,166,41,22,9886,0,88,2260800,167,2025796,167,1871703,82.78941083
10/11/2022,0,186,171,54,27,9703,0,114,2260800,186,2025982,171,1871874,82.79697452
10/12/2022,2,174,150,31,27,10834,0,89,2260800,176,2026158,152,1872026,82.80369781
10/13/2022,1,186,220,35,38,10383,0,114,2260800,187,2026345,221,1872247,82.81347311
10/14/2022,2,202,242,26,24,12898,0,156,2260800,204,2026549,244,1872491,82.82426575
10/15/2022,1,68,81,23,11,6268,0,73,2260800,69,2026618,82,1872573,82.82789278
10/16/2022,2,26,60,9,2,3109,0,20,2260800,28,2026646,62,1872635,82.83063517
10/17/2022,1,165,190,9,15,10198,0,113,2260800,166,2026812,191,1872826,82.83908351
10/18/2022,3,203,165,20,14,10254,0,70,2260800,206,2027018,168,1872994,82.84651451
10/19/2022,2,206,281,14,25,10923,0,118,2260800,208,2027226,283,1873277,82.8590322
10/20/2022,2,173,189,23,29,10209,0,120,2260800,175,2027401,191,1873468,82.86748054
10/21/2022,1,220,232,19,31,11878,0,164,2260800,221,2027622,233,1873701,82.87778662
10/22/2022,1,74,119,12,24,6314,0,86,2260800,75,2027697,120,1873821,82.88309448
10/23/2022,1,39,64,9,7,4061,0,22,2260800,40,2027737,65,1873886,82.88596957
10/24/2022,2,191,154,27,19,9705,0,96,2260800,193,2027930,156,1874042,82.89286978
10/25/2022,3,223,175,8,19,10068,0,75,2260800,226,2028156,178,1874220,82.9007431
10/26/2022,2,245,279,12,17,11065,0,122,2260800,247,2028403,281,1874501,82.91317233
10/27/2022,4,226,181,22,23,9880,0,110,2260800,230,2028633,185,1874686,82.92135527
10/28/2022,4,188,210,8,19,11291,0,146,2260800,192,2028825,214,1874900,82.93082095
10/29/2022,3,76,57,7,10,5206,0,55,2260800,79,2028904,60,1874960,82.93347488
10/30/2022,0,21,24,7,1,2882,0,4,2260800,21,2028925,24,1874984,82.93453645
10/31/2022,1,124,110,5,10,8396,0,52,2260800,125,2029050,111,1875095,82.93944621
11/1/2022,4,196,143,10,25,9177,0,96,2260800,200,2029250,147,1875242,82.94594834
11/2/2022,2,174,205,5,10,8935,0,105,2260800,176,2029426,207,1875449,82.95510439
11/3/2022,1,182,173,4,15,9119,0,73,2260800,183,2029609,174,1875623,82.96280078
11/4/2022,1,193,182,14,16,10711,0,100,2260800,194,2029803,183,1875806,82.97089526
11/5/2022,0,100,68,7,6,9216,0,56,2260800,100,2029903,68,1875874,82.97390304
11/6/2022,1,21,25,4,6,2410,0,12,2260800,22,2029925,26,1875900,82.97505308
11/7/2022,1,164,114,11,16,8184,0,79,2260800,165,2030090,115,1876015,82.98013977
11/8/2022,2,177,155,9,22,8098,0,59,2260800,179,2030269,157,1876172,82.98708422
11/9/2022,0,196,233,11,11,9024,0,98,2260800,196,2030465,233,1876405,82.9973903
11/10/2022,0,222,158,13,25,8602,0,93,2260800,222,2030687,158,1876563,83.00437898
11/11/2022,1,106,146,6,9,8400,0,84,2260800,107,2030794,147,1876710,83.0108811
11/12/2022,0,75,73,6,13,5283,0,54,2260800,75,2030869,73,1876783,83.01411005
11/13/2022,1,25,40,5,14,2677,0,14,2260800,26,2030895,41,1876824,83.01592357
11/14/2022,1,189,123,13,12,6694,0,94,2260800,190,2031085,124,1876948,83.02140835
11/15/2022,1,187,162,9,18,7274,0,99,2260800,188,2031273,163,1877111,83.02861819
11/16/2022,3,186,216,19,21,7195,0,102,2260800,189,2031462,219,1877330,83.03830502
11/17/2022,1,180,150,10,13,6725,0,84,2260800,181,2031643,151,1877481,83.04498408
11/18/2022,0,188,212,5,12,7501,0,127,2260800,188,2031831,212,1877693,83.05436129
11/19/2022,0,85,86,7,2,4660,0,70,2260800,85,2031916,86,1877779,83.05816525
11/20/2022,4,19,27,2,4,2606,0,9,2260800,23,2031939,31,1877810,83.05953645
11/21/2022,2,147,188,7,13,5856,0,92,2260800,149,2032088,190,1878000,83.06794055
11/22/2022,0,136,147,8,23,5826,0,92,2260800,136,2032224,147,1878147,83.07444268
11/23/2022,1,113,146,10,13,5182,0,73,2260800,114,2032338,147,1878294,83.0809448
11/24/2022,1,6,42,3,1,66,0,1,2260800,7,2032345,43,1878337,83.08284678
11/25/2022,1,72,51,12,23,4219,0,26,2260800,73,2032418,52,1878389,83.08514685
11/26/2022,0,41,59,5,8,2313,0,36,2260800,41,2032459,59,1878448,83.08775655
11/27/2022,0,17,33,6,6,1539,0,10,2260800,17,2032476,33,1878481,83.08921621
11/28/2022,4,136,165,8,10,4715,0,81,2260800,140,2032616,169,1878650,83.09669144
11/29/2022,0,131,142,4,13,4186,0,68,2260800,131,2032747,142,1878792,83.1029724
11/30/2022,0,168,241,9,10,4553,0,123,2260800,168,2032915,241,1879033,83.11363234
12/1/2022,5,139,159,5,15,4195,0,92,2260800,144,2033059,164,1879197,83.12088641
12/2/2022,3,151,157,3,17,5120,0,105,2260800,154,2033213,160,1879357,83.12796355
12/3/2022,1,60,73,9,9,2586,0,72,2260800,61,2033274,74,1879431,83.13123673
12/4/2022,0,11,24,2,4,1378,0,8,2260800,11,2033285,24,1879455,83.1322983
12/5/2022,2,113,123,4,8,4084,0,67,2260800,115,2033400,125,1879580,83.13782732
12/6/2022,3,150,143,7,13,4254,0,71,2260800,153,2033553,146,1879726,83.14428521
12/7/2022,1,169,233,7,4,4597,0,73,2260800,170,2033723,234,1879960,83.15463553
12/8/2022,4,171,168,3,8,4192,0,86,2260800,175,2033898,172,1880132,83.16224345
12/9/2022,2,179,185,10,15,5303,0,64,2260800,181,2034079,187,1880319,83.17051486
12/10/2022,4,55,85,4,6,2750,0,16,2260800,59,2034138,89,1880408,83.17445152
12/11/2022,1,19,25,6,3,1436,0,6,2260800,20,2034158,26,1880434,83.17560156
12/12/2022,1,146,121,12,11,4499,0,36,2260800,147,2034305,122,1880556,83.18099788
12/13/2022,1,147,127,7,13,4050,0,35,2260800,148,2034453,128,1880684,83.18665959
12/14/2022,2,165,230,9,2,4317,0,72,2260800,167,2034620,232,1880916,83.19692144
12/15/2022,1,156,137,4,15,4320,0,39,2260800,157,2034777,138,1881054,83.20302548
12/16/2022,3,138,150,2,12,4759,0,42,2260800,141,2034918,153,1881207,83.20979299
12/17/2022,1,41,55,4,13,2314,0,18,2260800,42,2034960,56,1881263,83.21226999
12/18/2022,0,19,36,0,0,1448,0,4,2260800,19,2034979,36,1881299,83.21386235
12/19/2022,1,128,151,9,7,4582,0,30,2260800,129,2035108,152,1881451,83.22058563
12/20/2022,1,96,87,11,6,3121,0,28,2260800,97,2035205,88,1881539,83.22447806
12/21/2022,6,128,157,8,9,3114,0,28,2260800,134,2035339,163,1881702,83.2316879
12/22/2022,2,118,110,7,8,3197,0,21,2260800,120,2035459,112,1881814,83.2366419
12/23/2022,1,18,13,2,2,739,0,2,2260800,19,2035478,14,1881828,83.23726115
12/24/2022,0,17,14,0,1,733,0,8,2260800,17,2035495,14,1881842,83.2378804
12/25/2022,0,2,2,0,0,16,0,1,2260800,2,2035497,2,1881844,83.23796886
12/26/2022,2,44,33,3,6,2129,0,15,2260800,46,2035543,35,1881879,83.23951699
12/27/2022,0,112,136,9,10,3529,0,46,2260800,112,2035655,136,1882015,83.24553255
12/28/2022,5,127,112,5,5,3237,0,32,2260800,132,2035787,117,1882132,83.25070771
12/29/2022,1,124,109,3,3,3409,0,36,2260800,125,2035912,110,1882242,83.25557325
12/30/2022,0,140,148,9,7,3326,0,22,2260800,140,2036052,148,1882390,83.2621196
