date,fb_stay_put_custom,mask_wearing_final,oxford_stringency_index
2019-01-01,NA,NA,NA
2019-01-02,NA,NA,NA
2019-01-03,NA,NA,NA
2019-01-04,36.67966829867239,NA,NA
2019-01-05,35.99942165280183,NA,NA
2019-01-06,35.69120692185517,NA,NA
2019-01-07,35.47216943507521,NA,NA
2019-01-08,35.39710710098206,NA,NA
2019-01-09,35.20973637908351,NA,NA
2019-01-10,34.92025888471077,NA,NA
2019-01-11,34.65931419665522,NA,NA
2019-01-12,34.527992511311766,NA,NA
2019-01-13,34.393449525634466,NA,NA
2019-01-14,34.294375973304206,NA,NA
2019-01-15,34.22106886013956,NA,NA
2019-01-16,34.17613306970197,NA,NA
2019-01-17,34.146614029977385,NA,NA
2019-01-18,34.26792692728383,NA,NA
2019-01-19,34.397386070740865,NA,NA
2019-01-20,34.56956659854592,NA,NA
2019-01-21,34.72591309552804,NA,NA
2019-01-22,34.84702120541576,NA,NA
2019-01-23,34.94844956297883,NA,NA
2019-01-24,35.03543299816564,NA,NA
2019-01-25,34.88711712438601,NA,NA
2019-01-26,34.68685833318667,NA,NA
2019-01-27,34.447118623763544,NA,NA
2019-01-28,34.17175691026597,NA,NA
2019-01-29,33.9066316976167,NA,NA
2019-01-30,33.67471414373449,NA,NA
2019-01-31,33.53866340649616,NA,NA
2019-02-01,33.93569509222238,NA,NA
2019-02-02,34.6559788847756,NA,NA
2019-02-03,35.45080218365025,NA,NA
2019-02-04,36.378978727625125,NA,NA
2019-02-05,37.424302496368874,NA,NA
2019-02-06,38.8239016405519,NA,NA
2019-02-07,40.31653967954588,NA,NA
2019-02-08,41.38485229017502,NA,NA
2019-02-09,42.278167275682705,NA,NA
2019-02-10,43.23664707034601,NA,NA
2019-02-11,44.147904314492465,NA,NA
2019-02-12,44.84260368592962,NA,NA
2019-02-13,44.813310362281584,NA,NA
2019-02-14,44.33123895586276,NA,NA
2019-02-15,43.486087000351695,NA,NA
2019-02-16,42.20413907846937,NA,NA
2019-02-17,40.6262769296421,NA,NA
2019-02-18,38.9529644058851,NA,NA
2019-02-19,37.3636133507178,NA,NA
2019-02-20,36.08536634907517,NA,NA
2019-02-21,35.07176520916079,NA,NA
2019-02-22,34.315913192786596,NA,NA
2019-02-23,33.85763456035621,NA,NA
2019-02-24,33.54626486672041,NA,NA
2019-02-25,33.21299684856483,NA,NA
2019-02-26,32.87468149042768,NA,NA
2019-02-27,32.56490572982783,NA,NA
2019-02-28,32.257403767234344,NA,NA
2019-03-01,32.06350784481718,NA,NA
2019-03-02,31.910272638209012,NA,NA
2019-03-03,31.837753380634464,NA,NA
2019-03-04,31.968815123961633,NA,NA
2019-03-05,32.145944711708985,NA,NA
2019-03-06,32.347617320527796,NA,NA
2019-03-07,32.56062100645473,NA,NA
2019-03-08,32.766658614708234,NA,NA
2019-03-09,33.01064057805732,NA,NA
2019-03-10,33.181444288603494,NA,NA
2019-03-11,33.17157213673714,NA,NA
2019-03-12,33.11375390735036,NA,NA
2019-03-13,33.007012248609534,NA,NA
2019-03-14,32.851553027853505,NA,NA
2019-03-15,32.6745254115814,NA,NA
2019-03-16,32.40015225545596,NA,NA
2019-03-17,32.12906261149893,NA,NA
2019-03-18,31.89800173281827,NA,NA
2019-03-19,31.667066928266955,NA,NA
2019-03-20,31.488874623393105,NA,NA
2019-03-21,31.36490891398302,NA,NA
2019-03-22,31.239742824127426,NA,NA
2019-03-23,31.172851104450377,NA,NA
2019-03-24,31.09588420794127,NA,NA
2019-03-25,31.012206558722223,NA,NA
2019-03-26,30.93467370374689,NA,NA
2019-03-27,30.8164123236819,NA,NA
2019-03-28,30.640230804637863,NA,NA
2019-03-29,30.488896724297053,NA,NA
2019-03-30,30.338779468310783,NA,NA
2019-03-31,30.279452547814966,NA,NA
2019-04-01,30.278843881237826,NA,NA
2019-04-02,30.332009074642166,NA,NA
2019-04-03,30.463556123260666,NA,NA
2019-04-04,30.67103424536819,NA,NA
2019-04-05,30.9162424674162,NA,NA
2019-04-06,31.17649200174854,NA,NA
2019-04-07,31.38844799443404,NA,NA
2019-04-08,31.62222152650501,NA,NA
2019-04-09,31.841998326319892,NA,NA
2019-04-10,32.01517664991152,NA,NA
2019-04-11,32.1966932976786,NA,NA
2019-04-12,32.29656184460716,NA,NA
2019-04-13,32.36941185069996,NA,NA
2019-04-14,32.390418929348094,NA,NA
2019-04-15,32.29883290162739,NA,NA
2019-04-16,32.15876139785904,NA,NA
2019-04-17,31.97688850026747,NA,NA
2019-04-18,31.71692175338455,NA,NA
2019-04-19,31.483488327916636,NA,NA
2019-04-20,31.212553720766472,NA,NA
2019-04-21,30.916438484582017,NA,NA
2019-04-22,30.622283090199243,NA,NA
2019-04-23,30.310110259948242,NA,NA
2019-04-24,29.98699858433293,NA,NA
2019-04-25,29.624703208749345,NA,NA
2019-04-26,29.222912912256216,NA,NA
2019-04-27,28.838455546256835,NA,NA
2019-04-28,28.52070916582526,NA,NA
2019-04-29,28.28505481521078,NA,NA
2019-04-30,28.118224987582185,NA,NA
2019-05-01,28.010770176620245,NA,NA
2019-05-02,28.026090201194126,NA,NA
2019-05-03,28.10846516326654,NA,NA
2019-05-04,28.273632823267018,NA,NA
2019-05-05,28.47290128985627,NA,NA
2019-05-06,28.658390148231483,NA,NA
2019-05-07,28.810792520989892,NA,NA
2019-05-08,28.943325677346763,NA,NA
2019-05-09,29.031762832360616,NA,NA
2019-05-10,29.144053839314573,NA,NA
2019-05-11,29.21794850015278,NA,NA
2019-05-12,29.26027211568553,NA,NA
