date,polygon_id,polygon_name,fb_movement,fb_stay_put
2020-06-21,53033,King,-9.144,24.282
2020-06-22,53033,King,-15.954,21.614000000000004
2020-06-23,53033,King,-15.412,21.746
2020-06-24,53033,King,-18.041,21.822000000000006
2020-06-25,53033,King,-17.289,21.183
2020-06-26,53033,King,-14.767000000000003,19.774
2020-06-27,53033,King,-13.827,24.562000000000005
2020-06-28,53033,King,-14.204,26.551000000000002
2020-06-29,53033,King,-17.494,22.037000000000003
2020-06-30,53033,King,-18.078,22.645
2020-07-01,53033,King,-17.156000000000002,22.070999999999998
2020-07-02,53033,King,-15.788000000000002,20.912000000000003
2020-07-03,53033,King,-14.371999999999998,20.612000000000005
2020-07-04,53033,King,-13.970000000000002,22.982
2020-07-05,53033,King,-5.090999999999999,23.810000000000002
2020-07-06,53033,King,-16.722,22.062
2020-07-07,53033,King,-18.276,22.765
2020-07-08,53033,King,-17.606,21.903000000000002
2020-07-09,53033,King,-19.38,21.679000000000002
2020-07-10,53033,King,-15.409999999999998,19.964000000000002
2020-07-11,53033,King,-6.479,21.908
2020-07-12,53033,King,-11.516,25.735000000000003
2020-07-13,53033,King,-16.592000000000002,21.566
2020-07-14,53033,King,-14.890999999999998,21.326999999999998
2020-07-15,53033,King,-14.955000000000002,20.477999999999998
2020-07-16,53033,King,-16.629,20.747
2020-07-17,53033,King,-18.145000000000003,21.404999999999998
2020-07-18,53033,King,-3.0509999999999997,21.01
2020-07-19,53033,King,-2.245,23.713
2020-07-20,53033,King,-14.886000000000003,21.722
2020-07-21,53033,King,-14.738000000000001,21.144
2020-07-22,53033,King,-16.615000000000002,21.751
2020-07-23,53033,King,-18.037,21.529
2020-07-24,53033,King,-15.901000000000002,20.568
2020-07-25,53033,King,-2.6020000000000003,21.076000000000004
2020-07-26,53033,King,-2.512,24.11
2020-07-27,53033,King,-14.473000000000006,21.671000000000003
2020-07-28,53033,King,-14.421000000000001,21.217000000000006
2020-07-29,53033,King,-15.418000000000001,21.111
2020-07-30,53033,King,-15.442,20.897
2020-07-31,53033,King,-12.149000000000001,19.272
2020-08-01,53033,King,-3.5159999999999996,21.099
2020-08-02,53033,King,-2.119,23.383000000000003
2020-08-03,53033,King,-14.834,21.199
2020-08-04,53033,King,-12.599000000000002,20.462
2020-08-05,53033,King,-13.949,20.82
2020-08-06,53033,King,-18.44,22.037000000000003
2020-08-07,53033,King,-15.298,19.925
2020-08-08,53033,King,-8.437,22.551
2020-08-09,53033,King,-2.241,23.573
2020-08-10,53033,King,-13.838000000000001,21.147
2020-08-11,53033,King,-14.357000000000001,21.183
2020-08-12,53033,King,-15.418000000000001,21.108
2020-08-13,53033,King,-15.93,20.594
2020-08-14,53033,King,-12.663000000000002,19.491000000000003
2020-08-15,53033,King,-0.627,20.738
2020-08-16,53033,King,-0.019,23.7
2020-08-17,53033,King,-14.299000000000001,21.788
2020-08-18,53033,King,-13.609000000000002,21.17
2020-08-19,53033,King,-14.13,20.735999999999997
2020-08-20,53033,King,-17.236,20.729000000000003
2020-08-21,53033,King,-16.426000000000002,20.702
2020-08-22,53033,King,-5.399,20.945000000000004
2020-08-23,53033,King,-2.9530000000000003,23.491999999999997
2020-08-24,53033,King,-14.782,21.096999999999998
2020-08-25,53033,King,-13.294,20.694000000000003
2020-08-26,53033,King,-12.968000000000002,20.326
2020-08-27,53033,King,-15.226,19.779
2020-08-28,53033,King,-10.874,18.627
2020-08-29,53033,King,-3.5549999999999997,21.012000000000004
2020-08-30,53033,King,-2.281,23.294999999999998
2020-08-31,53033,King,-15.83,21.456000000000003
2020-09-01,53033,King,-11.065,20.037
2020-09-02,53033,King,-12.523000000000001,19.838000000000005
2020-09-03,53033,King,-14.000000000000002,19.531000000000002
2020-09-04,53033,King,-10.007000000000001,18.384
