date,fb_stay_put_custom,mask_wearing_final,oxford_stringency_index
2019-01-01,39.888335250842886,NA,NA
2019-01-02,37.12545298797108,NA,NA
2019-01-03,36.24265071098827,NA,NA
2019-01-04,35.19891022780533,NA,NA
2019-01-05,35.79129870661646,NA,NA
2019-01-06,36.439415252577604,NA,NA
2019-01-07,36.07161495390512,NA,NA
2019-01-08,35.126608729748924,NA,NA
2019-01-09,34.96794987134449,NA,NA
2019-01-10,34.709388303528534,NA,NA
2019-01-11,34.673473889153286,NA,NA
2019-01-12,34.47970365332663,NA,NA
2019-01-13,34.4130727919684,NA,NA
2019-01-14,34.24500213751626,NA,NA
2019-01-15,34.207356932344744,NA,NA
2019-01-16,34.02614897160342,NA,NA
2019-01-17,34.01587343721671,NA,NA
2019-01-18,34.16032409700077,NA,NA
2019-01-19,34.16515312026347,NA,NA
2019-01-20,34.206439513896306,NA,NA
2019-01-21,35.09419241866139,NA,NA
2019-01-22,35.113570936543994,NA,NA
2019-01-23,35.23141266623877,NA,NA
2019-01-24,35.11029891609162,NA,NA
2019-01-25,35.00808086621477,NA,NA
2019-01-26,34.87515162320496,NA,NA
2019-01-27,34.81532356020398,NA,NA
2019-01-28,34.05598130220399,NA,NA
2019-01-29,33.71175939814863,NA,NA
2019-01-30,33.55323470027688,NA,NA
2019-01-31,33.18276692160857,NA,NA
2019-02-01,33.15220437766993,NA,NA
2019-02-02,33.25172874602945,NA,NA
2019-02-03,33.86296839953568,NA,NA
2019-02-04,36.83520310228752,NA,NA
2019-02-05,38.75374594602115,NA,NA
2019-02-06,39.1169977923994,NA,NA
2019-02-07,39.680002729432715,NA,NA
2019-02-08,40.469470758876206,NA,NA
2019-02-09,43.048922755310635,NA,NA
2019-02-10,44.31143467249353,NA,NA
2019-02-11,44.31339137669149,NA,NA
2019-02-12,45.00695084457497,NA,NA
2019-02-13,45.826356355042535,NA,NA
2019-02-14,46.05880343845789,NA,NA
2019-02-15,45.33236635893625,NA,NA
2019-02-16,42.8438694897744,NA,NA
2019-02-17,40.93693482756177,NA,NA
2019-02-18,38.39732768811404,NA,NA
2019-02-19,36.033315391398666,NA,NA
2019-02-20,34.78132131325168,NA,NA
2019-02-21,34.34561577215887,NA,NA
2019-02-22,34.20690897276518,NA,NA
2019-02-23,33.89614047827599,NA,NA
2019-02-24,33.84172684816108,NA,NA
2019-02-25,33.1063635734947,NA,NA
2019-02-26,32.825364964385976,NA,NA
2019-02-27,32.60173345780112,NA,NA
2019-02-28,32.01273964506975,NA,NA
2019-03-01,31.83870146580517,NA,NA
2019-03-02,31.727710154076995,NA,NA
2019-03-03,31.68921311000668,NA,NA
2019-03-04,31.74909211657459,NA,NA
2019-03-05,31.75271851812877,NA,NA
2019-03-06,32.09409865477928,NA,NA
2019-03-07,32.93017184835995,NA,NA
2019-03-08,33.07860858003663,NA,NA
2019-03-09,33.13941841580868,NA,NA
2019-03-10,33.180238911495245,NA,NA
2019-03-11,33.191355374349094,NA,NA
2019-03-12,33.460592261572366,NA,NA
2019-03-13,33.28972462860252,NA,NA
2019-03-14,32.86106678529546,NA,NA
2019-03-15,32.67388097432914,NA,NA
2019-03-16,32.39222680462292,NA,NA
2019-03-17,32.09202436620301,NA,NA
2019-03-18,31.952162060444365,NA,NA
2019-03-19,31.53998016869428,NA,NA
2019-03-20,31.392097120903312,NA,NA
2019-03-21,31.243640634530845,NA,NA
2019-03-22,31.05733734246995,NA,NA
2019-03-23,31.144880670505977,NA,NA
2019-03-24,31.22426440033239,NA,NA
2019-03-25,31.07599943145523,NA,NA
2019-03-26,31.07173813095493,NA,NA
2019-03-27,30.853328845339572,NA,NA
2019-03-28,30.657897089997522,NA,NA
2019-03-29,30.514607357642596,NA,NA
2019-03-30,30.31705101005105,NA,NA
2019-03-31,29.99099376702415,NA,NA
2019-04-01,30.01666086906954,NA,NA
2019-04-02,30.02091733905104,NA,NA
2019-04-03,30.43804040186887,NA,NA
2019-04-04,30.653636423957543,NA,NA
2019-04-05,30.88676371147297,NA,NA
2019-04-06,31.23788035038056,NA,NA
2019-04-07,31.443340621776816,NA,NA
2019-04-08,31.73311842340561,NA,NA
2019-04-09,31.842664079377407,NA,NA
2019-04-10,31.921732350667355,NA,NA
2019-04-11,32.29005114845436,NA,NA
2019-04-12,32.42520131017713,NA,NA
2019-04-13,32.45012861552196,NA,NA
2019-04-14,32.713957156146364,NA,NA
2019-04-15,32.43219825190553,NA,NA
2019-04-16,32.352614122027035,NA,NA
2019-04-17,32.06878190120426,NA,NA
2019-04-18,31.648948954409455,NA,NA
2019-04-19,31.44470078379868,NA,NA
2019-04-20,31.177018332380975,NA,NA
2019-04-21,30.894189927965922,NA,NA
2019-04-22,30.798164273630125,NA,NA
2019-04-23,30.456071871975887,NA,NA
2019-04-24,29.99597524791308,NA,NA
2019-04-25,29.589861193730034,NA,NA
2019-04-26,29.259490972041686,NA,NA
2019-04-27,28.915236603073772,NA,NA
2019-04-28,28.358122298880843,NA,NA
2019-04-29,27.985632198178216,NA,NA
2019-04-30,27.76487030998021,NA,NA
2019-05-01,27.771750584892057,NA,NA
2019-05-02,27.94028073942868,NA,NA
2019-05-03,28.09168217864151,NA,NA
2019-05-04,28.16305292634019,NA,NA
2019-05-05,28.465362470898032,NA,NA
2019-05-06,28.56225693268511,NA,NA
2019-05-07,28.921043929983558,NA,NA
2019-05-08,29.16662985101683,NA,NA
2019-05-09,29.23870274805516,NA,NA
2019-05-10,29.15849878795037,NA,NA
2019-05-11,29.09078502083828,NA,NA
